modele,marge_totale,f1,precision,recall,TN,FP,FN,TP,TN_marge,FP_marge,FN_perte
XGBoost (seuil=0.85),2055747.2381503386,0.10391068421380902,0.06512646104530706,0.2569005397070162,706668,23915,4819,1666,2078151.4320003337,126043.00414999864,148447.19799999977
UnderSampling + LogReg,2040855.666650331,0.06692496335959833,0.03693855321330172,0.3555898226676947,670461,60122,4179,2306,1924193.417000298,233813.61464999945,117151.36499999967
XGBoost + SMOTE,2018958.7556503084,0.1361861373250895,0.14413638711899432,0.12906707787201233,725613,4970,5648,837,2197370.0470003844,42589.97364999975,221001.26500000025
SMOTE + LogReg,1975483.4367002929,0.09388151505341534,0.15636232925952553,0.06707787201233616,728236,2347,6050,435,2185950.670500386,50583.53719999998,261050.77100000053
LogReg + class_weight,1965496.6198002854,0.038624452580946225,0.019976554336121704,0.5807247494217425,545828,184755,2719,3766,1495655.4475001509,533790.1933000099,63949.0210000002
RandomForest + class_weight,1932807.6888502252,0.03709210073978829,0.01909902619794205,0.6405551272166539,517239,213344,2331,4154,1375061.1610000925,618206.193850017,60459.666000000194
BalancedRandomForest,1923920.60200022,0.036170915307227075,0.018589324993126204,0.6672320740169623,502142,228441,2158,4327,1305076.3015000513,667195.5955000218,48351.29500000022
XGBoost + scale_pos_weight,1896776.9108002014,0.0347079650131317,0.01780115945944872,0.6908249807247494,483394,247189,2005,4480,1202631.7575000362,738906.7763000285,44761.623000000225
